step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
73000,0.07469058469667697,0.000817597727291286,-5.25,-5.250039623704551,-1.063029170036316,-1.0549615621566772,-1.0650991201400757,-1.054978609085083,-1.0567104816436768,-0.7282830476760864,-1.7695434093475342
74000,0.07348641067160618,0.0012367884628474712,-5.25,-5.254898238058023,-1.0458719730377197,-1.0596044063568115,-1.0527673959732056,-1.0583409070968628,-1.0486005544662476,-0.7062393426895142,-1.7507810592651367
75000,0.07234096490673939,0.0008105018641799688,-5.25,-5.282357869081587,-1.0758411884307861,-1.0602277517318726,-1.0678493976593018,-1.0655492544174194,-1.0524187088012695,-0.7809109687805176,-1.4785181283950806
76000,0.07125138319102835,0.0010663657449185848,-5.25,-5.294255569276524,-1.0576022863388062,-1.1024134159088135,-1.170562982559204,-1.1700503826141357,-1.0555092096328735,-0.706843376159668,-1.4866430759429932
77000,0.07021494100264604,0.0010684665758162737,-5.25,-5.254032795668374,-1.1330599784851074,-1.07280433177948,-1.0725599527359009,-1.0798184871673584,-1.0622869729995728,-0.764051616191864,-1.5746688842773438
78000,0.06922904669626287,0.002176042180508375,-6.25,-5.581471887603368,-1.1802228689193726,-1.1522932052612305,-1.1096259355545044,-1.1610162258148193,-1.1515681743621826,-0.7010927200317383,-1.6072391271591187
79000,0.0682912350225835,0.001559788011945784,-5.25,-5.250065459255188,-1.0572365522384644,-1.0882127285003662,-1.0629708766937256,-1.0594828128814697,-1.0523182153701782,-0.7417217493057251,-1.6592124700546265
80000,0.0673991609639394,0.0032365075312554836,-5.25,-5.328567034601791,-1.0740063190460205,-1.2355327606201172,-1.07455313205719,-1.087708830833435,-1.0531212091445923,-0.6751503944396973,-1.5156972408294678
81000,0.06655059387052337,0.0008282297058030963,-5.25,-5.276336714188618,-1.0628691911697388,-1.0580661296844482,-1.0523277521133423,-1.051685094833374,-1.0608365535736084,-0.7177848815917969,-1.782278299331665
82000,0.06574341188260299,0.0015311245806515217,-5.25,-5.50922418452448,-1.0507094860076904,-1.1957463026046753,-1.0762510299682617,-1.0608545541763306,-1.053260326385498,-0.7234676480293274,-1.234527826309204
83000,0.06497559662476614,0.0012629632838070393,-5.25,-5.29839072661179,-1.0550540685653687,-1.0505006313323975,-1.0669797658920288,-1.063180685043335,-1.0472095012664795,-0.7527644038200378,-1.529320478439331
84000,0.06424522815893112,0.0010381665779277682,-5.25,-5.293527433394088,-1.0468741655349731,-1.101167917251587,-1.0497264862060547,-1.1021188497543335,-1.0543729066848755,-0.7622842788696289,-1.1943683624267578
85000,0.06355048018350143,0.00023496084031648934,-5.25,-5.250458242371543,-1.0515153408050537,-1.0617072582244873,-1.0584278106689453,-1.1746265888214111,-1.0476114749908447,-0.6871702671051025,-1.5443044900894165
86000,0.06288961546666039,0.0006532917032018304,-5.25,-5.2636171617637935,-1.0497560501098633,-1.0464074611663818,-1.0466258525848389,-1.0422098636627197,-1.0497188568115234,-0.703018069267273,-1.676052451133728
87000,0.06226098150238687,0.0017739050090312958,-6.25,-5.340142481906417,-1.0742549896240234,-1.2308285236358643,-1.1769793033599854,-1.1192632913589478,-1.1379104852676392,-0.6643354296684265,-1.4036855697631836
88000,0.06166300637832936,0.0022466955706477165,-5.25,-5.310013295812964,-1.1463627815246582,-1.060597538948059,-1.0516139268875122,-1.1078126430511475,-1.0459630489349365,-0.7935119271278381,-1.3291590213775635
