step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
77000,0.07021494100264604,0.0006136542069725692,-5.25,-5.25282309199408,-1.050601840019226,-1.1785438060760498,-1.0567049980163574,-1.0527862310409546,-1.0494840145111084,-0.7779688835144043,-0.8795940279960632
78000,0.06922904669626287,0.0030358759686350822,-5.25,-5.761512608395274,-1.2664669752120972,-1.2306177616119385,-1.3570482730865479,-1.4716600179672241,-1.159147024154663,-0.7316159009933472,-0.783757746219635
79000,0.0682912350225835,0.005153726786375046,-5.25,-5.307022266882275,-1.0617377758026123,-1.0546729564666748,-1.1462360620498657,-1.3227894306182861,-1.056544303894043,-0.7246580123901367,-0.8177013397216797
80000,0.0673991609639394,0.0033150813542306423,-5.25,-5.505513753804684,-1.234434723854065,-1.2146022319793701,-1.2784807682037354,-1.4253028631210327,-1.1918036937713623,-0.8520374298095703,-0.9203109741210938
81000,0.06655059387052337,0.003092446830123663,-5.25,-5.268630093293854,-1.0921820402145386,-1.0833057165145874,-1.2288347482681274,-1.1097397804260254,-1.0765571594238281,-0.7584179043769836,-0.8688346743583679
82000,0.06574341188260299,0.002426581457257271,-5.25,-5.2824320157003894,-1.0490895509719849,-1.0575506687164307,-1.184015154838562,-1.1845910549163818,-1.0653129816055298,-0.7347140312194824,-0.8356796503067017
83000,0.06497559662476614,0.00309457303956151,-5.25,-5.273365635098912,-1.107973575592041,-1.1752684116363525,-1.0766241550445557,-1.0543065071105957,-1.0693496465682983,-0.7534162402153015,-0.8516685366630554
84000,0.06424522815893112,0.002088146982714534,-5.25,-5.259807710259824,-1.1130766868591309,-1.0853890180587769,-1.0592811107635498,-1.0507121086120605,-1.0408354997634888,-0.7629046440124512,-0.8780377507209778
85000,0.06355048018350143,0.0017521741101518273,-5.25,-5.436109123024482,-1.0695260763168335,-1.096431851387024,-1.0587399005889893,-1.0688831806182861,-1.0525134801864624,-0.7965288162231445,-0.9083626866340637
86000,0.06288961546666039,0.0020015104673802853,-6.25,-5.861924888458138,-1.2786848545074463,-1.2900922298431396,-1.2824244499206543,-1.3416321277618408,-1.2733595371246338,-0.8754574656486511,-0.9359111785888672
87000,0.06226098150238687,0.0024484428577125072,-5.25,-5.347353492005047,-1.2045085430145264,-1.0637528896331787,-1.1705585718154907,-1.2620540857315063,-1.0603212118148804,-0.7971602082252502,-0.8909589648246765
88000,0.06166300637832936,0.00538698211312294,-5.75,-5.546852218641497,-1.566669225692749,-1.062015175819397,-1.0890324115753174,-1.5423414707183838,-1.0679419040679932,-0.9837371110916138,-1.068750262260437
